Player Name,Market Value (m€),Fee (m€),Position
Harry Maguire,8.0,13.7,Centre-Back
Marko Rog,10.0,13.5,Central Midfield
James Rodríguez,50.0,,Attacking Midfield
Wilfried Bony,18.0,13.0,Centre-Forward
Davy Pröpper,10.0,13.0,Central Midfield
Sandro Wagner,9.0,13.0,Centre-Forward
Steve Mounié,5.5,13.0,Centre-Forward
Emre Mor,5.0,13.0,Right Winger
Roque Mesa,12.0,12.5,Central Midfield
Bruno Peres,11.0,12.5,Right-Back
Simon Kjaer,11.0,12.5,Centre-Back
Yevgen Konoplyanka,10.0,12.5,Left Winger
Hirving Lozano,10.0,12.5,Right Winger
Sven Bender,7.0,12.5,Defensive Midfield
Mario Hermoso,0.4,12.5,Centre-Back
Yerry Mina,9.0,12.4,Centre-Back
Richarlison,2.0,12.4,Centre-Forward
Alex Pritchard,5.0,12.35,Attacking Midfield
Esequiel Barco,6.5,12.28,Left Winger
Ömer Toprak,16.0,12.0,Centre-Back
Mahmoud Dahoud,15.0,12.0,Central Midfield
Gerard Deulofeu,12.0,12.0,Centre-Forward
Pablo Fornals,10.0,12.0,Attacking Midfield
Marco Benassi,9.5,12.0,Central Midfield
Mattia De Sciglio,8.5,12.0,Right-Back
Adrián Ramos,5.0,12.0,Centre-Forward
Roberto Inglese,4.5,12.0,Centre-Forward
Adam Ounas,4.0,12.0,Right Winger
Denis Zakaria,4.0,12.0,Defensive Midfield
Pedro Rocha,1.5,12.0,Left Winger
Douglas Luiz,,12.0,Central Midfield
Jordan Rhodes,10.0,11.7,Centre-Forward
Asmir Begovic,8.0,11.5,Goalkeeper
Landry Dimata,6.5,11.5,Centre-Forward
Lucas Pratto,4.5,11.5,Centre-Forward
Martin Braithwaite,7.5,11.3,Centre-Forward
Jacob Murphy,1.0,11.3,Right Winger
Florian Thauvin,18.0,11.0,Right Winger
Gabriel Paulista,13.0,11.0,Centre-Back
Martin Terrier,12.0,11.0,Left Winger
Guilherme Arana,10.0,11.0,Left-Back
Jonathan Viera,8.0,11.0,Attacking Midfield
Diego Llorente,7.5,11.0,Centre-Back
Jô,4.0,11.0,Centre-Forward
Nikola Vlašić,4.0,10.8,Attacking Midfield
Marc Bartra,15.0,10.5,Centre-Back
Stevan Jovetic,10.0,10.5,Centre-Forward
Juan Foyth,5.0,10.5,Right-Back
Luiz Araújo,0.5,10.5,Right Winger
Jordan Hugill,3.0,10.2,Centre-Forward
Luiz Gustavo,12.0,10.0,Defensive Midfield
Lorenzo Pellegrini,12.0,10.0,Attacking Midfield
Younès Belhanda,9.0,10.0,Attacking Midfield
Diafra Sakho,8.0,10.0,Centre-Forward
Bertrand Traoré,8.0,10.0,Right Winger
Florian Lejeune,5.0,10.0,Centre-Back
Maximiliano Romero,4.0,10.0,Centre-Forward
Loïs Diony,3.0,10.0,Centre-Forward
Allan Saint-Maximin,3.0,10.0,Left Winger
Adama Diakhaby,1.5,10.0,Right Winger
Pape Cheikh,0.8,10.0,Central Midfield
Leonardo Pavoletti,11.0,9.8,Centre-Forward
Bruno Fernandes,7.5,9.7,Attacking Midfield
Marcos Acuña,7.0,9.59,Left-Back
Facundo Colidio,,9.5,Centre-Forward
Tom Cleverley,8.0,9.3,Central Midfield
