Player Name,Market Value (m€),Fee (m€),Position,Matched_Name,Similarity_Score,Player_Id,Full_Name,Air_Duels_Won,Interceptions,Clearances,Turnovers,Loose_Ball_Duels_Won,Defensive_Duels_Won
Milan Skriniar,7.0,34.0,Centre-Back,Milan  Škriniar,0.896551724137931,138408.0,Milan  Škriniar,1.8907563025210083,2.647058823529412,2.546218487394958,4.310924369747899,0.9831932773109244,2.016806722689076
Iñigo Martínez,25.0,32.0,Centre-Back,,0.0,,,,,,,,
Alessandro Bastoni,1.5,31.1,Centre-Back,Alessandro  Matri,0.8,20478.0,Alessandro  Matri,1.2830957230142566,0.1832993890020366,0.3665987780040733,3.574338085539715,0.5498981670061099,0.0916496945010183
Yannick Carrasco,40.0,30.0,Left Winger,,0.0,,,,,,,,
Keita Baldé,25.0,30.0,Centre-Forward,,0.0,,,,,,,,
Danilo,16.0,30.0,Centre-Back,,0.0,,,,,,,,
Michael Keane,18.0,28.5,Centre-Back,Michael  Keane,0.9629629629629629,7919.0,Michael  Keane,5.616591928251121,2.791479820627803,3.632286995515695,6.053811659192825,1.883408071748879,1.7825112107623318
Jordan Pickford,15.0,28.5,Goalkeeper,Jordan  Pickford,0.967741935483871,10131.0,Jordan  Pickford,0.6545454545454545,0.73006993006993,0.427972027972028,4.833566433566434,0.1006993006993007,0.0251748251748251
Lucas Moura,28.0,28.4,Right Winger,Luca  Mora,0.8571428571428571,22864.0,Luca  Mora,3.397959183673469,0.7346938775510204,1.010204081632653,7.989795918367347,2.938775510204082,0.9183673469387756
Mamadou Sakho,15.0,28.2,Centre-Back,Mamadou  Sakho,0.9629629629629629,25430.0,Mamadou  Sakho,2.22155328115593,3.521974714027694,2.7633955448524983,5.0391330523780855,1.8422636965683323,0.5960264900662252
Kelechi Iheanacho,15.0,27.7,Centre-Forward,,0.0,,,,,,,,
Davy Klaassen,18.0,27.0,Central Midfield,,0.0,,,,,,,,
Blaise Matuidi,30.0,25.0,Central Midfield,Blaise  Matuidi,0.9655172413793104,25437.0,Blaise  Matuidi,1.3930753564154783,1.209775967413442,0.329938900203666,3.7759674134419554,1.0631364562118126,1.4663951120162932
Youri Tielemans,22.0,25.0,Central Midfield,Youri  Tielemans,0.967741935483871,263802.0,Youri  Tielemans,1.5460122699386505,1.822085889570552,0.9386503067484664,7.619631901840491,2.042944785276074,1.7116564417177915
Andriy Yarmolenko,18.0,25.0,Right Winger,Andriy  Yarmolenko,0.9714285714285714,105622.0,Andriy  Yarmolenko,0.7520891364902507,0.6685236768802229,0.5013927576601671,7.77158774373259,1.504178272980501,0.7520891364902507
Serge Aurier,15.0,25.0,Right-Back,Serge  Aurier,0.96,25785.0,Serge  Aurier,3.092991913746631,2.4258760107816717,1.091644204851752,10.24932614555256,2.1226415094339623,2.1226415094339623
Davide Zappacosta,8.5,25.0,Right Midfield,Davide  Zappacosta,0.9714285714285714,22889.0,Davide  Zappacosta,1.248915871639202,1.092801387684302,0.7805724197745013,8.274067649609714,1.0147441457068518,1.0147441457068518
Luis Muriel,17.0,24.5,Centre-Forward,,0.0,,,,,,,,
Theo Hernández,15.0,24.0,Left-Back,,0.0,,,,,,,,
Matías Vecino,13.0,24.0,Central Midfield,,0.0,,,,,,,,
Andrea Conti,10.0,24.0,Right-Back,Andrea  Costa,0.8,20609.0,Andrea  Costa,1.7975206611570247,1.7355371900826446,3.1611570247933884,7.066115702479339,1.3016528925619837,1.859504132231405
Hakan Çalhanoğlu,20.0,23.3,Defensive Midfield,Hakan  Çalhanoğlu,0.9696969696969697,15524.0,Hakan  Çalhanoğlu,0.5181576616474757,0.8768821966341895,0.3587245349867139,8.051372896368468,1.1558901682905225,0.9964570416297608
Leandro Paredes,13.0,23.0,Defensive Midfield,,0.0,,,,,,,,
André Ayew,18.0,22.8,Left Winger,,0.0,,,,,,,,
Nathan Aké,8.0,22.8,Centre-Back,Nathan  Aké,0.9523809523809523,134102.0,Nathan  Aké,3.0517095224639728,2.7465385702175755,3.280587736648771,5.162475275501554,1.0426674201751909,1.5512856739191865
Theo Walcott,20.0,22.5,Right Winger,Theo   Walcott,0.9230769230769231,7879.0,Theo   Walcott,0.2795031055900621,0.3493788819875776,0.6987577639751553,6.218944099378882,0.9782608695652174,0.908385093167702
Cenk Tosun,10.5,22.5,Centre-Forward,Cenk  Tosun,0.9523809523809523,32636.0,Cenk  Tosun,2.743362831858407,0.2654867256637168,0.8849557522123894,5.221238938053097,1.6814159292035398,0.3539823008849557
Marko Arnautovic,15.0,22.3,Centre-Forward,Marko  Arnautović,0.9090909090909091,14703.0,Marko  Arnautović,0.6398996235884568,0.6398996235884568,1.0163111668757845,7.264742785445421,1.6938519447929736,0.903387703889586
